startPoints.lat	startPoints.lon	endPoints.lat	endPoints.lon
47.614107	-122.316117	47.634719	-122.278504
47.691209	-122.359684	47.702819	-122.370109
47.670378	-122.296193	47.624283	-122.325532
47.641989	-122.314941	47.645618	-122.326093
47.613345	-122.311485	47.619938	-122.318403
47.618323	-122.346831	47.647901	-122.337552
47.611524	-122.32564	47.617984	-122.335984
47.619938	-122.318403	47.682674	-122.34242
47.645618	-122.326094	47.642365	-122.315431
47.589984	-122.329131	47.669823	-122.387581
47.707386	-122.309956	47.692886	-122.323034
47.679561	-122.373797	47.680239	-122.366118
47.612733	-122.306243	47.611523	-122.325639
47.675967	-122.38396	47.624257	-122.314184
47.623694	-122.29453	47.603522	-122.31205
47.650823	-122.351935	47.684851	-122.308031
47.600459	-122.331591	47.600732	-122.331595
47.628379	-122.290927	47.621134	-122.313973
47.625744	-122.336298	47.670345	-122.339916
47.700711	-122.376781	47.691371	-122.393938
47.600892	-122.331597	47.651018	-122.371555
47.586802	-122.306848	47.612776	-122.310171
47.59836	-122.321344	47.614107	-122.316117
47.661452	-122.284771	47.664493	-122.329076
47.666429	-122.373049	47.668343	-122.375003
47.664775	-122.295633	47.612734	-122.306243
47.612775	-122.310171	47.613344	-122.311485
47.624257	-122.314184	47.683397	-122.40043
47.69137	-122.393938	47.691209	-122.359683
47.683398	-122.40043	47.679561	-122.373798
47.670343	-122.339916	47.612693	-122.311488
47.623291	-122.359644	47.624341	-122.361947
47.634719	-122.278504	47.640696	-122.279724
47.617837	-122.346078	47.653929	-122.323843
47.647906	-122.337552	47.662121	-122.335385
47.682674	-122.342421	47.608777	-122.328876
47.612692	-122.311488	47.622275	-122.330445
47.669824	-122.387581	47.619476	-122.344993
47.603522	-122.31205	47.5798	-122.331089
47.668344	-122.375003	47.668123	-122.381073
47.668123	-122.381074	47.633946	-122.341625
47.684656	-122.316228	47.650838	-122.330568
47.651019	-122.371555	47.669289	-122.373665
47.624342	-122.361947	47.620085	-122.298563
47.684851	-122.308032	47.66851	-122.283048
47.622275	-122.330445	47.612898	-122.307952
47.680238	-122.366118	47.613094	-122.327047
47.608777	-122.328875	47.683269	-122.362493
47.617984	-122.335984	47.614093	-122.324311
47.633946	-122.341624	47.633947	-122.341557
47.642857	-122.302611	47.610391	-122.310046
47.619492	-122.344993	47.650043	-122.351325
47.659474	-122.348651	47.664614	-122.382418
47.703131	-122.322797	47.661888	-122.316567
47.610391	-122.310045	47.612635	-122.340598
47.612898	-122.307949	47.615263	-122.314694
47.681009	-122.318774	47.665992	-122.305551
47.615263	-122.314244	47.617494	-122.294881
47.702658	-122.317735	47.615773	-122.318157
47.640696	-122.279724	47.640653	-122.280767
47.650044	-122.351324	47.658186	-122.283962
47.651006	-122.330352	47.66401	-122.294793
47.614093	-122.324307	47.614084	-122.319898
47.661889	-122.316567	47.624292	-122.326917
47.690309	-122.304577	47.696323	-122.306754
47.5798	-122.331089	47.60875	-122.293693
47.664614	-122.382418	47.627617	-122.314295
47.615772	-122.318157	47.615122	-122.34353
47.683269	-122.362494	47.616361	-122.326108
47.614084	-122.3199	47.614985	-122.322133
47.616361	-122.326107	47.639596	-122.362476
